주문날짜,target_audience,상품명,수량,금액,평점,배송소요시간,주문건수,카테고리,브랜드,spend,clicks,impressions,conversions,revenue_generated,roas
2023-03-16,New Users,Baby Wipes,3,1280.16,4.0,15.0,1,Baby Care,Narula Group,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,New Users,Eggs,1,826.21,4.0,26.0,1,Dairy & Breakfast,"Raghavan, Magar and Shanker",0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,New Users,Toothpaste,2,176.86,3.0,14.0,1,Personal Care,Naidu PLC,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Premium,Baby Wipes,2,1726.36,5.0,10.0,1,Baby Care,Dora-Pillai,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Premium,Cough Syrup,1,90.56,3.0,23.0,1,Pharmacy,Ram-Suri,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Premium,Ice Cream,1,140.8,3.0,27.0,1,Instant & Frozen Food,Purohit Group,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Premium,Wheat Flour,3,291.12,1.0,19.0,1,Grocery & Staples,Khurana and Sons,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Regular,Potatoes,2,833.3,3.0,21.0,1,Fruits & Vegetables,Rege Group,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,Regular,Spinach,3,1892.52,2.0,35.0,1,Fruits & Vegetables,"Thakur, Shah and Pingle",0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,Inactive,Cola,1,422.23,1.0,14.0,1,Cold Drinks & Juices,Rastogi Inc,1090.49,529.0,8489.0,45.0,2050.84,3.82
2023-03-17,New Users,Biscuits,2,1652.42,3.0,18.0,1,Snacks & Munchies,"Kunda, Dave and Sahni",14128.99,2859.0,31004.0,291.0,29566.010000000002,2.936
2023-03-17,Premium,Dog Food,1,831.1,2.0,25.0,1,Pet Care,Sandal PLC,3922.53,860.0,5216.0,34.0,7701.25,2.01
2023-03-17,Regular,Cat Food,2,431.3,4.0,15.0,1,Pet Care,"Krishna, Bail and Dyal",0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,Regular,Detergent,2,325.34,4.0,11.0,1,Household Care,Lalla-Srinivasan,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,Regular,Pain Reliever,1,530.85,5.0,16.0,1,Pharmacy,"Batra, Sant and Mandal",0.0,0.0,0.0,0.0,0.0,0.0
2023-03-18,Inactive,Cough Syrup,1,877.89,4.0,23.0,1,Pharmacy,Pant LLC,9294.23,1425.0,14180.0,184.0,18505.010000000002,2.72
2023-03-18,Inactive,Pet Treats,3,249.54,3.0,21.0,1,Pet Care,Raja and Sons,9294.23,1425.0,14180.0,184.0,18505.010000000002,2.72
2023-03-18,New Users,Mango Drink,1,321.28,2.0,19.0,1,Cold Drinks & Juices,Dass and Sons,9916.33,2390.0,21491.0,145.0,13145.97,2.65
2023-03-18,New Users,Orange Juice,3,2644.26,4.0,21.0,1,Cold Drinks & Juices,Baral-Kamdar,9916.33,2390.0,21491.0,145.0,13145.97,2.65
2023-03-18,Premium,Carrots,3,2476.38,3.0,14.0,1,Fruits & Vegetables,Uppal Group,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-18,Premium,Frozen Biryani,2,659.58,4.0,14.0,1,Instant & Frozen Food,Chakrabarti-Batra,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-18,Premium,Pet Treats,3,2362.2,3.0,30.0,1,Pet Care,Balakrishnan-Kaur,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-19,New Users,Eggs,3,2478.63,1.0,17.0,1,Dairy & Breakfast,"Raghavan, Magar and Shanker",0.0,0.0,0.0,0.0,0.0,0.0
2023-03-19,New Users,Nuts,1,556.35,4.0,22.0,1,Snacks & Munchies,Karpe Inc,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-19,Premium,Baby Food,3,2794.83,4.0,19.0,1,Baby Care,Karnik PLC,5462.55,1384.0,13259.0,120.0,13094.28,2.555
2023-03-19,Premium,Butter,1,702.54,4.0,26.0,1,Dairy & Breakfast,Bora-Thakkar,5462.55,1384.0,13259.0,120.0,13094.28,2.555
2023-03-19,Premium,Pet Treats,2,166.36,4.0,43.0,1,Pet Care,Raja and Sons,5462.55,1384.0,13259.0,120.0,13094.28,2.555
2023-03-19,Regular,Biscuits,1,483.05,4.0,9.0,1,Snacks & Munchies,Yohannan Inc,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-19,Regular,Milk,2,1197.66,3.0,16.0,1,Dairy & Breakfast,"Wali, Virk and Iyer",0.0,0.0,0.0,0.0,0.0,0.0
2023-03-20,Inactive,Pet Treats,1,787.4,4.0,22.0,1,Pet Care,Balakrishnan-Kaur,12970.89,1047.0,17876.0,164.0,17404.94,2.17
